@Relation urban_new_2021_fold4_train

@ATTRIBUTE f1_minas          NUMERIC  % Μήνας (1-12)
@ATTRIBUTE f2_epochi         NUMERIC  % Εποχή (1=Χειμ 2=Άνοιξ 3=Καλοκ 4=Φθιν)
@ATTRIBUTE f3_ora            NUMERIC  % Ώρα ημέρας (0-23)
@ATTRIBUTE f4_mera_nyxta     NUMERIC  % Μέρα=1 Νύχτα=0
@ATTRIBUTE f5_imera_evdom    NUMERIC  % Ημέρα εβδομάδας (0=Δευτ 6=Κυρ)
@ATTRIBUTE f6_savvatokyriako NUMERIC  % Σαββ/κο=1 Καθημ=0
@ATTRIBUTE f7_trimino        NUMERIC  % Τρίμηνο (1-4)
@ATTRIBUTE f8_nomos          NUMERIC  % Κωδικός Νομού
@ATTRIBUTE f9_typos_xorou    NUMERIC  % Κωδικός τύπου χώρου
@ATTRIBUTE class             {8,9,11} % 8=Μεγάλη 9=Μεσαία 11=Μικρή

@DATA
1,1,15,1,5,1,1,5,87,11
1,1,18,1,0,0,1,5,87,11
1,1,12,1,2,0,1,5,87,11
1,1,7,1,4,0,1,5,96,11
1,1,21,0,6,1,1,5,87,11
1,1,16,1,4,0,1,5,87,11
1,1,19,1,5,1,1,5,73,11
1,1,11,1,5,1,1,5,87,11
2,1,16,1,1,0,1,5,87,11
2,1,21,0,6,1,1,5,73,11
2,1,19,1,2,0,1,5,87,11
2,1,16,1,3,0,1,5,96,11
2,1,11,1,3,0,1,5,87,11
2,1,4,0,3,0,1,5,73,11
2,1,17,1,4,0,1,5,87,11
3,2,14,1,1,0,1,5,87,11
3,2,12,1,4,0,1,5,120,11
3,2,16,1,5,1,1,5,87,11
3,2,8,1,1,0,1,5,87,11
3,2,18,1,3,0,1,5,87,11
3,2,11,1,4,0,1,5,87,11
3,2,20,1,6,1,1,5,87,11
4,2,11,1,2,0,2,5,87,11
4,2,20,1,4,0,2,5,73,11
4,2,8,1,5,1,2,5,87,11
4,2,10,1,1,0,2,5,96,11
4,2,19,1,4,0,2,5,87,11
4,2,13,1,1,0,2,5,87,11
4,2,21,0,3,0,2,5,87,11
5,2,6,0,4,0,2,5,120,11
5,2,10,1,5,1,2,5,87,9
5,2,13,1,3,0,2,5,87,11
6,3,1,0,6,1,2,5,73,8
8,3,20,1,5,1,3,5,87,11
10,4,14,1,6,1,4,5,87,11
10,4,19,1,5,1,4,5,113,11
11,4,23,0,1,0,4,5,73,11
11,4,21,0,4,0,4,5,85,11
11,4,19,1,1,0,4,5,96,11
12,1,18,1,2,0,4,5,87,11
12,1,14,1,5,1,4,5,87,11
12,1,9,1,0,0,4,5,87,11
12,1,10,1,0,0,4,5,87,11
1,1,11,1,1,0,1,5,19,11
1,1,19,1,0,0,1,5,30,11
9,4,9,1,6,1,3,5,19,11
9,4,17,1,6,1,3,5,101,11
10,4,21,0,2,0,4,5,5,11
1,1,12,1,5,1,1,5,85,11
1,1,13,1,6,1,1,5,64,11
1,1,23,0,1,0,1,5,85,11
1,1,2,0,1,0,1,5,85,11
1,1,14,1,3,0,1,5,64,11
1,1,3,0,4,0,1,5,64,11
1,1,8,1,6,1,1,5,64,11
1,1,11,1,1,0,1,5,64,11
1,1,14,1,2,0,1,5,64,11
1,1,0,0,4,0,1,5,56,11
1,1,13,1,4,0,1,5,64,11
1,1,15,1,5,1,1,5,85,11
1,1,20,1,5,1,1,5,64,11
1,1,12,1,6,1,1,5,85,11
1,1,18,1,6,1,1,5,85,11
1,1,6,0,0,0,1,5,85,11
1,1,1,0,0,0,1,5,85,11
1,1,0,0,1,0,1,5,85,11
1,1,9,1,1,0,1,5,64,11
1,1,1,0,2,0,1,5,85,11
1,1,17,1,2,0,1,5,85,11
1,1,7,1,2,0,1,5,85,11
1,1,11,1,3,0,1,5,73,11
1,1,22,0,3,0,1,5,47,11
1,1,1,0,5,1,1,5,71,11
1,1,21,0,5,1,1,5,85,11
1,1,18,1,6,1,1,5,31,11
1,1,19,1,1,0,1,5,85,11
1,1,11,1,1,0,1,5,85,11
1,1,17,1,2,0,1,5,92,11
1,1,17,1,2,0,1,5,85,11
1,1,20,1,2,0,1,5,64,11
1,1,10,1,3,0,1,5,30,11
1,1,23,0,4,0,1,5,85,11
1,1,21,0,5,1,1,5,85,11
1,1,9,1,6,1,1,5,56,11
1,1,18,1,6,1,1,5,85,11
1,1,21,0,6,1,1,5,64,11
2,1,21,0,4,0,1,5,8,11
2,1,16,1,0,0,1,5,29,11
2,1,19,1,3,0,1,5,64,11
2,1,20,1,4,0,1,5,31,8
2,1,5,0,5,1,1,5,19,11
2,1,15,1,3,0,1,5,64,11
2,1,19,1,3,0,1,5,85,11
2,1,10,1,4,0,1,5,71,11
2,1,16,1,4,0,1,5,64,11
2,1,21,0,5,1,1,5,64,8
