10
5121
0.0833333 1 33.87 139.48 127 10590 2.01339  5.8 14.7077 0.823737 0
0.0833333 1 37.49 142.09 23 10609 2.01634  5.8 14.7057 0.818508 0
0.0833333 1 42.89 145.24 46 10637 2.01915  5.8 14.6992 0.81021 0
0.0833333 1 58.179 6.199 0 10609 2.01408  5.8 14.6987 0.709175 0
0.0833333 1 35.98 141.4 42 10597 2.0151  5.8 14.6966 0.821017 0
0.0833333 1 500.865 124.395 0 1760 2.70943  5.9 15.757 0.647038 0
0.0833333 1 61.49 23.576 0 10619 2.015  5.8 14.6961 0.703634 0
0.0833333 1 39.604 732.481 0 623 2.80353  6.3 7.16685 0.634325 1
0.0833333 1 42.34 141.79 120 10627 2.01848  5.8 14.6918 0.808308 0
0.0833333 1 38.64 139.62 15 10608 2.01611  5.8 14.6894 0.814038 0
0.0833333 1 31.02 131.61 26 10572 2.01279  5.8 14.6873 0.823228 0
0.0833333 0.967742 370.687 283.773 15 10786 2.06524  5.8 14.6838 0.631239 1
0.0833333 0.967742 35.35 139.48 22 10586 2.01454  5.8 14.6826 0.820688 0
0.0833333 0.967742 461.475 141.743 15 10513 2.04543  5.9 15.7423 0.737638 0
0.0833333 0.967742 44.254 11.431 10 10572 2.01245  5.8 14.6806 0.740445 0
0.0833333 0.967742 468.547 844.839 0 684 2.79561  6.3 7.15195 0.363799 1
0.0833333 0.967742 37.04 142.21 19 10595 2.01685  5.8 14.6802 0.819534 0
0.0833333 0.967742 35.89 137.63 6 10586 2.01487  5.8 14.6783 0.818028 0
0.0833333 0.967742 43.84 84.48 13 10602 2.01494  5.8 14.6781 0.764378 1
0.0833333 0.967742 394.288 73.534 0 10793 2.04002  5.9 15.7374 0.779144 1
0.0833333 0.967742 37.42 141.76 47 10593 2.01688  5.8 14.6748 0.818368 0
0.0833333 0.967742 39.35 20.92 10 10566 2.01233  5.8 14.6716 0.752355 1
0.0833333 0.967742 508.503 594.015 0 1079 2.77525  6.3 7.14154 0.703851 0
0.0833333 0.967742 32.08 129.89 11 10565 2.01311  5.8 14.6682 0.819669 0
0.0833333 0.967742 33.9 137.47 349 10565 2.01336  5.8 14.6672 0.822002 1
0.0833333 0.967742 59.766 2.374 10 10591 2.0145  5.8 14.6618 0.705532 0
0.0833333 0.935484 41.64 143.31 26 10612 2.01886  5.8 14.6593 0.811064 0
0.0833333 0.935484 300.506 508.163 35 2479 2.37213  6.3 7.12713 0.73038 1
0.0833333 0.935484 43.83 147.36 27 10617 2.01984  5.8 14.6538 0.810189 1
0.0833333 0.935484 28.22 129.44 42 10552 2.01267  5.8 14.6458 0.827359 0
0.0833333 0.935484 515.782 596.646 0 1066 2.77167  6.3 7.11623 0.709951 1
0.0833333 0.935484 368.227 280.111 48.6 10746 2.06136  5.8 14.6427 0.623244 1
0.0833333 0.935484 25.49 128.59 49 10531 2.0125  5.8 14.6373 0.832403 1
0.0833333 0.935484 500.317 -290.461 0 975 2.83374  5.9 15.6977 0.665525 1
0.0833333 0.903226 51.691 7.098 1 10579 2.01376  5.8 14.6348 0.723642 0
0.0833333 0.903226 35.06 132.69 10 10564 2.01352  5.8 14.6337 0.815702 1
0.0833333 0.903226 394.222 207.129 15.1 10846 2.03978  5.9 15.6927 0.946038 1
0.0833333 0.903226 71.152 -6.963 0.2 10590 2.0151  5.8 14.6313 0.680367 1
0.0833333 0.903226 33.24 137.16 38 10554 2.01305  5.8 14.6302 0.823109 0
