@Relation test

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE class {1.00,0.00}

@DATA
-12.300000,-2.681732,1.00
-12.300000,1.200000,1.00
-13.985625,0.000000,1.00
-13.985625,-3.881732,1.00
-15.985625,0.000000,0.00
2.314375,-3.881732,1.00
-13.985625,0.000000,1.00
-13.985625,0.000000,0.00
-14.985625,0.000000,0.00
-14.300000,0.000000,1.00
1.314375,-3.881732,1.00
-11.985625,1.200000,1.00
-12.985625,1.200000,1.00
-12.300000,1.200000,1.00
-15.985625,0.000000,0.00
-11.985625,1.200000,1.00
-11.985625,-2.681732,1.00
-14.985625,0.000000,0.00
-13.985625,0.000000,0.00
-12.300000,1.200000,1.00
4.314375,-2.681732,1.00
-13.985625,0.000000,0.00
-13.300000,-3.881732,1.00
-14.985625,0.000000,0.00
-17.300000,-3.881732,0.00
-15.985625,0.000000,0.00
-11.985625,1.200000,1.00
-11.985625,-2.681732,1.00
-14.985625,-3.881732,1.00
-12.300000,-2.681732,1.00
-11.985625,1.200000,1.00
-13.985625,0.000000,1.00
-11.985625,1.200000,1.00
-11.985625,1.200000,1.00
2.314375,-3.881732,1.00
-13.985625,0.000000,1.00
-12.300000,1.200000,1.00
-12.985625,0.000000,1.00
-17.300000,-3.881732,0.00
-16.300000,-3.881732,0.00
-11.985625,1.200000,1.00
-13.985625,-3.881732,1.00
-11.985625,-2.681732,1.00
-12.300000,1.200000,1.00
-12.300000,1.200000,1.00
-16.300000,0.000000,0.00
-11.985625,1.200000,1.00
-12.300000,1.200000,1.00
-13.985625,0.000000,1.00
-12.300000,-2.681732,1.00
2.000000,0.000000,0.00
-15.985625,0.000000,0.00
-12.985625,0.000000,0.00
-13.985625,0.000000,0.00
-11.985625,-2.681732,1.00
-14.300000,0.000000,0.00
-12.985625,0.000000,0.00
-11.985625,1.200000,1.00
-13.985625,0.000000,0.00
-12.985625,1.200000,1.00
-12.300000,-2.681732,1.00
-14.300000,0.000000,1.00
-11.985625,-2.681732,1.00
-14.985625,0.000000,0.00
1.000000,-3.881732,0.00
-14.300000,0.000000,0.00
-12.300000,1.200000,1.00
-13.985625,-2.681732,1.00
-14.300000,-3.881732,1.00
-12.300000,-2.681732,1.00
-11.985625,-2.681732,1.00
-13.985625,0.000000,0.00
-11.985625,-2.681732,1.00
-12.300000,1.200000,1.00
-11.985625,1.200000,1.00
-12.300000,1.200000,1.00
-13.985625,0.000000,0.00
-12.300000,-2.681732,1.00
-12.985625,0.000000,1.00
4.314375,-2.681732,1.00
-13.985625,0.000000,1.00
-12.300000,1.200000,1.00
-14.985625,0.000000,0.00
-11.985625,-2.681732,1.00
-11.985625,1.200000,1.00
-14.300000,-3.881732,1.00
-11.985625,1.200000,1.00
-13.300000,-3.881732,1.00
-11.985625,-2.681732,1.00
-13.985625,-3.881732,1.00
-12.985625,0.000000,0.00
-15.985625,0.000000,0.00
-15.985625,0.000000,0.00
-13.300000,-3.881732,1.00
-15.985625,0.000000,0.00
-15.985625,-3.881732,1.00
-16.985625,-3.881732,0.00
-13.985625,0.000000,0.00
-14.985625,0.000000,0.00
-16.300000,0.000000,0.00
3.000000,0.000000,0.00
-14.985625,0.000000,1.00
-12.985625,0.000000,0.00
-14.300000,0.000000,0.00
-13.985625,-3.881732,1.00
-14.300000,0.000000,0.00
-15.300000,0.000000,0.00
-11.985625,-2.681732,1.00
-16.985625,-3.881732,0.00
-15.985625,-3.881732,1.00
-17.300000,-3.881732,0.00
-11.985625,-2.681732,1.00
-12.985625,0.000000,1.00
-11.985625,1.200000,1.00
-11.985625,-2.681732,1.00
-15.300000,0.000000,0.00
-15.300000,-3.881732,1.00
-11.985625,-2.681732,1.00
-11.985625,1.200000,1.00
-12.985625,1.200000,0.00
-16.300000,0.000000,0.00
-15.985625,-3.881732,0.00
-13.985625,0.000000,0.00
-15.985625,-3.881732,0.00
-11.985625,1.200000,1.00
-16.985625,-3.881732,0.00
-12.300000,-2.681732,1.00
-15.985625,0.000000,0.00
-11.985625,1.200000,1.00
-15.985625,0.000000,0.00
0.314375,-3.881732,1.00
-16.985625,0.000000,0.00
-14.985625,0.000000,0.00
-16.300000,0.000000,0.00
-11.985625,1.200000,1.00
-14.300000,-3.881732,0.00
-15.985625,0.000000,0.00
-15.985625,0.000000,0.00
-11.985625,-2.681732,1.00
-11.985625,1.200000,1.00
-15.985625,0.000000,0.00
-13.985625,0.000000,1.00
-12.985625,0.000000,1.00
-11.985625,-2.681732,1.00
-12.300000,1.200000,1.00
-16.300000,0.000000,0.00
-14.300000,0.000000,0.00
-11.985625,-2.681732,1.00
-14.300000,0.000000,0.00
-15.985625,0.000000,0.00
-15.985625,0.000000,0.00
-15.300000,0.000000,0.00
-15.985625,-3.881732,0.00
-13.300000,-3.881732,1.00
-14.300000,-3.881732,1.00
-11.985625,1.200000,1.00
-14.985625,0.000000,0.00
-14.300000,-3.881732,0.00
-12.300000,-2.681732,1.00
-15.985625,-3.881732,0.00
-12.300000,1.200000,1.00
-16.300000,0.000000,0.00
-13.985625,1.200000,0.00
-15.985625,-3.881732,0.00
4.314375,1.200000,1.00
1.314375,-3.881732,0.00
-12.985625,-2.681732,1.00
-15.985625,0.000000,0.00
-16.985625,0.000000,0.00
-15.985625,0.000000,0.00
-12.985625,0.000000,0.00
-11.985625,-2.681732,1.00
-11.985625,1.200000,1.00
-11.985625,1.200000,1.00
-15.985625,0.000000,0.00
-13.985625,1.200000,0.00
-11.985625,1.200000,1.00
-16.985625,0.000000,0.00
-12.985625,0.000000,1.00
0.000000,-3.881732,0.00
-11.985625,-2.681732,1.00
-12.985625,1.200000,1.00
-12.300000,1.200000,1.00
-13.985625,-3.881732,1.00
-14.985625,0.000000,0.00
-12.300000,1.200000,1.00
-12.300000,-2.681732,1.00
-13.985625,0.000000,1.00
-13.985625,0.000000,1.00
-13.985625,-3.881732,1.00
-11.985625,1.200000,1.00
-13.300000,-3.881732,1.00
-16.300000,-3.881732,0.00
-14.985625,0.000000,0.00
-14.985625,-3.881732,0.00
-15.985625,0.000000,0.00
-12.985625,0.000000,0.00
-14.300000,0.000000,0.00
-11.985625,1.200000,1.00
-14.300000,0.000000,0.00
1.314375,-3.881732,0.00
-14.985625,0.000000,0.00
-14.985625,-3.881732,0.00
-11.985625,1.200000,1.00
-13.300000,0.000000,1.00
-13.985625,0.000000,0.00
-12.300000,-2.681732,1.00
-15.985625,-3.881732,0.00
-11.985625,-2.681732,1.00
-15.985625,0.000000,0.00
-11.985625,1.200000,1.00
-12.985625,-3.881732,1.00
-14.985625,-3.881732,0.00
2.314375,-3.881732,1.00
-13.985625,-3.881732,1.00
-13.300000,0.000000,0.00
-15.985625,0.000000,0.00
-14.985625,-3.881732,0.00
-12.985625,1.200000,1.00
-12.300000,-2.681732,1.00
-16.985625,-3.881732,0.00
-11.985625,1.200000,1.00
-16.300000,0.000000,0.00
-12.985625,-3.881732,1.00
-15.985625,0.000000,0.00
-11.985625,-2.681732,1.00
-11.985625,1.200000,1.00
-17.300000,-3.881732,0.00
-13.985625,1.200000,1.00
-13.985625,0.000000,0.00
-15.300000,0.000000,0.00
-11.985625,-2.681732,1.00
-12.985625,-2.681732,1.00
-16.300000,-3.881732,0.00
-16.985625,0.000000,0.00
-11.985625,1.200000,1.00
-16.300000,0.000000,0.00
-11.985625,1.200000,1.00
-11.985625,1.200000,1.00
-12.985625,-3.881732,1.00
-13.985625,0.000000,1.00
-13.985625,0.000000,1.00
-14.985625,0.000000,0.00
-16.985625,-3.881732,0.00
-13.985625,0.000000,0.00
-16.985625,-3.881732,0.00
-12.300000,-2.681732,1.00
-12.300000,-2.681732,1.00
-11.985625,1.200000,1.00
0.000000,0.000000,0.00
-12.300000,-2.681732,1.00
-15.300000,0.000000,0.00
-12.985625,0.000000,0.00
-14.985625,0.000000,0.00
3.314375,1.200000,0.00
-14.985625,0.000000,0.00
-16.300000,-3.881732,0.00
-16.985625,0.000000,0.00
-15.985625,-3.881732,0.00
2.000000,0.000000,0.00
-15.985625,0.000000,0.00
-12.985625,1.200000,1.00
-11.985625,1.200000,1.00
