@Relation test

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE class {1.00,0.00}

@DATA
-0.000000,0.000000,-0.587194,0.00
-0.000000,0.000000,-0.587194,0.00
-0.000000,0.494722,-0.587194,0.00
-0.000000,0.494722,-1.000000,0.00
-0.000000,0.494722,-0.587194,0.00
-0.593397,1.494722,-0.079141,0.00
-0.000000,0.000000,-0.587194,0.00
-0.000000,1.494722,-0.584774,0.00
-0.593397,0.494722,-0.079468,0.00
-0.593397,1.494722,0.865222,0.00
-0.000000,0.000000,0.000000,0.00
-3.072397,1.494722,-0.079141,0.00
-3.072397,1.494722,0.865222,1.00
-3.072397,1.494722,0.920859,1.00
-3.072397,0.494722,0.920532,0.00
-2.479000,0.494722,0.000000,0.00
-2.479000,0.494722,0.412806,0.00
-3.072397,1.494722,0.920859,1.00
-3.072397,1.494722,0.920859,1.00
-3.072397,0.494722,0.864665,0.00
-3.072397,0.494722,0.864665,0.00
-3.072397,0.494722,0.920532,1.00
-3.072397,1.494722,0.920859,1.00
-3.072397,1.494722,0.865222,1.00
-3.072397,1.494722,0.920859,1.00
-2.479000,1.494722,1.000000,1.00
-2.479000,1.494722,1.000000,1.00
-3.072397,1.494722,-0.079141,1.00
-3.072397,1.494722,-0.134778,0.00
-3.072397,1.494722,-0.079141,1.00
-3.072397,0.494722,-0.079468,0.00
-3.072397,0.494722,-0.079468,0.00
-2.479000,0.494722,-0.587194,0.00
-3.072397,0.000000,0.920532,0.00
-3.072397,0.000000,0.920532,1.00
-3.072397,0.000000,0.920532,0.00
-3.072397,0.000000,0.920532,0.00
-3.072397,1.494722,0.920859,1.00
-3.072397,0.494722,0.920532,1.00
-3.072397,1.494722,0.865222,1.00
-3.072397,1.494722,0.920859,1.00
-2.479000,0.000000,0.412806,0.00
-2.479000,0.000000,0.000000,0.00
-3.072397,1.494722,0.920859,1.00
-2.479000,0.494722,0.000000,0.00
-3.072397,1.494722,0.865222,1.00
-3.072397,1.494722,0.865222,1.00
-2.479000,1.000000,0.415226,1.00
-3.072397,0.494722,0.864665,1.00
-3.072397,0.494722,0.864665,0.00
-3.072397,0.494722,0.920532,1.00
-3.072397,1.494722,0.865222,1.00
-3.072397,1.494722,0.865222,1.00
-3.072397,1.494722,0.865222,1.00
-3.072397,1.494722,0.920859,1.00
-3.072397,1.494722,0.920859,1.00
-3.072397,1.494722,0.920859,1.00
-3.072397,0.494722,0.920532,1.00
-3.072397,1.494722,0.865222,1.00
-2.479000,0.494722,0.412806,0.00
-2.479000,0.494722,0.412806,0.00
-2.479000,0.494722,0.412806,0.00
-0.000000,0.494722,0.412806,0.00
-0.000000,0.494722,0.412806,1.00
-0.000000,0.494722,0.412806,1.00
-0.000000,0.494722,0.412806,1.00
-0.000000,0.494722,0.412806,0.00
-0.000000,1.494722,-0.584774,1.00
-0.000000,0.494722,-1.000000,0.00
-0.593397,1.494722,-0.134778,0.00
-0.593397,1.494722,-0.134778,1.00
-0.000000,0.494722,-0.587194,0.00
-0.000000,0.494722,-1.000000,0.00
-0.000000,1.494722,0.000000,0.00
-0.000000,0.494722,-0.587194,0.00
